0:0:0:0:0:0:0:1 - - [18/Nov/2021:16:58:09 +0900] "GET /lefthand/img/logo.png HTTP/1.1" 200 13544
0:0:0:0:0:0:0:1 - - [18/Nov/2021:16:58:09 +0900] "GET /lefthand/img/facebook.jpg HTTP/1.1" 200 24494
0:0:0:0:0:0:0:1 - - [18/Nov/2021:16:58:09 +0900] "GET /lefthand/img/twitter.png HTTP/1.1" 200 4348
0:0:0:0:0:0:0:1 - - [18/Nov/2021:16:58:09 +0900] "GET /lefthand/img/logo_long.png HTTP/1.1" 200 4385
0:0:0:0:0:0:0:1 - - [18/Nov/2021:16:58:09 +0900] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [18/Nov/2021:16:58:33 +0900] "GET /lefthand/index.jsp HTTP/1.1" 200 3203
0:0:0:0:0:0:0:1 - - [18/Nov/2021:16:58:33 +0900] "GET /lefthand/css/teststyle.css HTTP/1.1" 200 103
0:0:0:0:0:0:0:1 - - [18/Nov/2021:16:58:33 +0900] "GET /lefthand/css/footer.css HTTP/1.1" 200 1129
0:0:0:0:0:0:0:1 - - [18/Nov/2021:16:58:33 +0900] "GET /lefthand/css/reset.css HTTP/1.1" 200 748
0:0:0:0:0:0:0:1 - - [18/Nov/2021:16:58:33 +0900] "GET /lefthand/css/header.css HTTP/1.1" 200 630
0:0:0:0:0:0:0:1 - - [18/Nov/2021:16:58:33 +0900] "GET /lefthand/img/logo_long.png HTTP/1.1" 200 4385
0:0:0:0:0:0:0:1 - - [18/Nov/2021:16:58:33 +0900] "GET /lefthand/img/Instagram.png HTTP/1.1" 404 1108
0:0:0:0:0:0:0:1 - - [18/Nov/2021:16:58:33 +0900] "GET /lefthand/img/logo.png HTTP/1.1" 200 13544
0:0:0:0:0:0:0:1 - - [18/Nov/2021:16:58:33 +0900] "GET /lefthand/img/twitter.png HTTP/1.1" 200 4348
0:0:0:0:0:0:0:1 - - [18/Nov/2021:16:58:33 +0900] "GET /lefthand/img/facebook.jpg HTTP/1.1" 200 24494
0:0:0:0:0:0:0:1 - - [18/Nov/2021:16:58:33 +0900] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [18/Nov/2021:16:58:50 +0900] "GET /lefthand/index.jsp HTTP/1.1" 200 3203
0:0:0:0:0:0:0:1 - - [18/Nov/2021:16:58:50 +0900] "GET /lefthand/css/footer.css HTTP/1.1" 200 1129
0:0:0:0:0:0:0:1 - - [18/Nov/2021:16:58:50 +0900] "GET /lefthand/css/reset.css HTTP/1.1" 200 748
0:0:0:0:0:0:0:1 - - [18/Nov/2021:16:58:50 +0900] "GET /lefthand/css/header.css HTTP/1.1" 200 630
0:0:0:0:0:0:0:1 - - [18/Nov/2021:16:58:50 +0900] "GET /lefthand/css/teststyle.css HTTP/1.1" 200 103
0:0:0:0:0:0:0:1 - - [18/Nov/2021:16:58:50 +0900] "GET /lefthand/img/Instagram.png HTTP/1.1" 404 1108
